,flow,category,amount
241,Chloride,"('water', 'ground-, long-term')",3.179483429456016e-05
242,Thallium,"('air', 'non-urban air or from high stacks')",9.910571663422558e-13
243,Hydrogen sulfide,"('air', 'non-urban air or from high stacks')",4.0846628372800563e-08
244,Nitrogen oxides,"('air', 'lower stratosphere + upper troposphere')",2.9130390247219426e-09
245,Propane,"('air',)",1.7308906551653047e-09
246,Chloroform,"('air', 'non-urban air or from high stacks')",4.84082950482845e-11
247,Fosetyl-aluminium,"('soil', 'agricultural')",0.0
248,"Occupation, pasture, man made, intensive","('natural resource', 'land')",4.8933423403308515e-08
249,Phenol,"('water',)",5.226232669169878e-10
250,"Gold, Au 4.9E-5%, in ore, in ground","('natural resource', 'in ground')",4.036733679901346e-11
251,Paraquat,"('soil', 'agricultural')",1.32689358132802e-12
252,Imazaquin,"('air', 'non-urban air or from high stacks')",9.648638929772253e-14
253,Fenbuconazole,"('soil', 'agricultural')",2.1468220399515087e-16
254,Acetone,"('water',)",7.807478939865812e-12
255,"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground","('natural resource', 'in ground')",3.0421315091437387e-05
256,Toluene,"('air', 'urban air close to ground')",1.4226929204765907e-07
257,"Copper, ion","('water', 'ocean')",2.083137579279528e-10
258,"Cadmium, ion","('water', 'ground-')",3.6811500914448077e-10
259,"Pt, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('natural resource', 'in ground')",3.210827609374717e-11
260,Antimony,"('air', 'urban air close to ground')",4.2101923952733615e-11
261,"Transformation, from traffic area, road network","('natural resource', 'land')",9.898136212268839e-23
262,Metaldehyde,"('soil', 'agricultural')",5.416381008649073e-14
263,Ethylene oxide,"('air', 'non-urban air or from high stacks')",8.607304253878105e-15
264,"Transformation, to cropland fallow (non-use)","('natural resource', 'land')",4.797060774649401e-08
265,"Methane, bromo-, Halon 1001","('air',)",1.21408234956384e-16
266,Potassium-40,"('air', 'non-urban air or from high stacks')",1.2588818501842559e-06
267,Iron,"('air',)",6.909550869441042e-07
268,Chlorsulfuron,"('soil', 'agricultural')",6.83335660076302e-17
269,Monoethanolamine,"('air', 'urban air close to ground')",2.4968804685341458e-09
270,Sethoxydim,"('soil', 'agricultural')",9.22383497310313e-15
271,Cadmium,"('soil',)",8.844420840034784e-11
272,Ammonium carbonate,"('air', 'urban air close to ground')",6.788634464112636e-12
273,Bentazone,"('water', 'surface water')",2.7275065292174033e-18
274,Benzal chloride,"('air', 'urban air close to ground')",0.0
275,Ethoprop,"('soil', 'agricultural')",0.0
276,"Hydrocarbons, aromatic","('water', 'surface water')",2.0422453865202464e-07
277,Hydrogen peroxide,"('water',)",0.0
278,Folpet,"('soil', 'agricultural')",0.0
279,Scandium,"('air', 'low population density, long-term')",3.0983037022866053e-10
280,Napropamide,"('soil', 'agricultural')",8.02167151983792e-14
281,Radium-228,"('water', 'surface water')",3.8919274880703504e-05
282,3-Methyl-1-butanol,"('water', 'surface water')",0.0
283,"Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","('natural resource', 'in ground')",4.305975598867811e-11
284,"Volume occupied, final repository for low-active radioactive waste","('natural resource', 'in ground')",1.5097687467298693e-09
285,"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground","('natural resource', 'in ground')",6.5761913118253015e-09
286,"2,4-DB","('air', 'non-urban air or from high stacks')",1.778230844247733e-21
287,Thorium-232,"('air',)",4.0455942488780677e-10
288,"Occupation, permanent crop, irrigated","('natural resource', 'land')",1.8916979548264253e-06
289,"DOC, Dissolved Organic Carbon","('water',)",4.254215865792829e-07
290,Butane,"('air', 'urban air close to ground')",4.713589747164831e-07
291,"Fish, pelagic, in ocean","('natural resource', 'in water')",1.1538279413308077e-19
292,Phosphate,"('water', 'ground-, long-term')",5.204932990272186e-05
293,Iodine-131,"('air', 'non-urban air or from high stacks')",2.739108844282969e-06
294,"DOC, Dissolved Organic Carbon","('water', 'surface water')",2.2016582689784956e-05
295,Ethene,"('air', 'non-urban air or from high stacks')",7.821290174626525e-09
296,Propanal,"('air', 'urban air close to ground')",8.79038668763498e-12
297,"Nickel, ion","('water', 'surface water')",5.131664290698748e-09
298,Phenanthrene,"('air',)",2.9254993646400265e-12
299,Thallium,"('soil',)",3.995475190230845e-12
300,Chlorotoluron,"('soil', 'agricultural')",2.378744258637457e-15
301,Phosphoric acid,"('water',)",0.0
302,Dibutyltin,"('water', 'ocean')",5.406871229020058e-31
303,"Methane, bromo-, Halon 1001","('air', 'urban air close to ground')",4.880820836714481e-25
304,Tungsten,"('air', 'non-urban air or from high stacks')",7.662980255105155e-14
305,"Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124","('air',)",1.5005425788863456e-12
306,"Cerium, 24% in bastnasite, 2.4% in crude ore, in ground","('natural resource', 'in ground')",6.138555977054218e-14
307,Spinosad,"('soil', 'agricultural')",1.1192118789721251e-23
308,Chlorosulfonic acid,"('water', 'surface water')",7.552384864135074e-14
309,"Hydrocarbons, aliphatic, alkanes, cyclic","('air', 'non-urban air or from high stacks')",2.858362936234343e-10
310,Iodosulfuron-methyl-sodium,"('soil', 'agricultural')",4.137325342959878e-18
311,2-Methyl-1-propanol,"('air', 'urban air close to ground')",5.255699447652501e-14
312,"Hydrocarbons, aromatic","('air', 'non-urban air or from high stacks')",1.6098573007871807e-09
313,Nickel,"('soil', 'agricultural')",9.431133057956494e-11
314,"Transformation, from cropland fallow (non-use)","('natural resource', 'land')",1.3548425421154752e-08
315,"Carbon dioxide, fossil","('air', 'lower stratosphere + upper troposphere')",5.477082890760472e-10
316,4-Methyl-2-pentanol,"('water', 'surface water')",4.728443470108096e-19
317,Propoxycarbazone-sodium (prop),"('soil', 'agricultural')",2.853351820601848e-17
318,"Cadmium, ion","('water',)",7.969842529191587e-10
319,Uranium-238,"('water', 'ground-')",4.6423073668274063e-10
320,2-Methyl pentane,"('air', 'urban air close to ground')",7.373825362212829e-11
321,Uranium-238,"('water', 'ocean')",9.067074861807792e-08
322,Linuron,"('soil', 'agricultural')",2.2967660554119923e-11
323,"Chrysotile, in ground","('natural resource', 'in ground')",5.564962396146009e-10
324,Monophenyltin,"('water', 'ocean')",1.021297863127847e-31
325,Xylene,"('air', 'non-urban air or from high stacks')",5.4788432572500814e-08
326,"Occupation, annual crop, irrigated, intensive","('natural resource', 'land')",7.006782641831634e-10
327,Tin,"('air', 'low population density, long-term')",2.402509658404578e-11
328,"Transformation, from dump site, inert material landfill","('natural resource', 'land')",9.12025717043184e-07
329,Hydrogen chloride,"('air', 'low population density, long-term')",6.1411080472352356e-09
330,"Volume occupied, reservoir","('natural resource', 'in water')",0.0006551530210752383
331,"Insecticides, unspecified","('soil', 'agricultural')",1.397689583312312e-20
332,"Transformation, to permanent crop, irrigated","('natural resource', 'land')",4.049762531564632e-08
333,Benzaldehyde,"('water',)",0.0
334,"Zinc, ion","('water', 'ground-, long-term')",8.05174415895766e-06
335,"Radioactive species, other beta emitters","('air', 'urban air close to ground')",1.9468209807945066e-05
336,"Methane, from soil or biomass stock","('air', 'non-urban air or from high stacks')",6.321459712083635e-09
337,"strontium, in ground","('natural resource', 'in ground')",8.276237946684418e-09
338,Styrene,"('air',)",9.680674137181816e-09
339,"Benzene, ethyl-","('water',)",7.364151978193136e-11
340,Dichromate,"('water', 'surface water')",2.9523957124933702e-12
341,Polonium-210,"('air', 'urban air close to ground')",1.1816426818301958e-06
342,Chromium-51,"('water', 'surface water')",7.294671672396092e-07
343,Arsenic,"('air', 'low population density, long-term')",4.6293822762524793e-10
344,Cyfluthrin,"('soil', 'agricultural')",5.168125520457272e-14
345,Bifenthrin,"('soil', 'agricultural')",4.802635255735326e-16
346,Platinum,"('air', 'urban air close to ground')",1.6751596448631403e-18
347,Bromine,"('air', 'urban air close to ground')",1.359693236729265e-09
348,Silver-110,"('air', 'non-urban air or from high stacks')",9.07778338538154e-12
349,Formaldehyde,"('air', 'urban air close to ground')",1.0385339611629215e-07
350,"Water, salt, sole","('natural resource', 'in water')",4.997571258646351e-06
351,"Zirconium, 50% in zircon, 0.39% in crude ore, in ground","('natural resource', 'in ground')",2.1172397352468808e-07
352,"Europium, 0.06% in bastnasite, 0.006% in crude ore, in ground","('natural resource', 'in ground')",1.5379250616815425e-16
353,MCPB,"('air', 'non-urban air or from high stacks')",1.6026907163160896e-21
354,"Solids, inorganic","('water', 'surface water')",9.729723242501907e-07
355,Dinitrogen monoxide,"('air', 'low population density, long-term')",7.70586309358015e-12
356,"Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","('natural resource', 'in ground')",9.518667538058783e-08
357,Fluoride,"('soil',)",2.105184753111403e-09
358,Cerium-144,"('water', 'surface water')",1.3979206679822573e-09
359,Thorium-228,"('air', 'non-urban air or from high stacks')",1.8125951307642916e-07
360,Flucarbazone sodium salt,"('soil', 'agricultural')",4.27079363780676e-18
361,Chlorine,"('water',)",1.0633509023106013e-13
362,Benzene,"('air', 'lower stratosphere + upper troposphere')",3.468839306184268e-15
363,Chloramine,"('air', 'urban air close to ground')",1.926739399380202e-13
364,Carbaryl,"('air', 'non-urban air or from high stacks')",5.74831888726839e-14
365,Prohexadione-calcium,"('soil', 'agricultural')",5.146737747494637e-18
366,"Sodium, ion","('water', 'surface water')",0.0001233290009392762
367,Vinclozolin,"('soil', 'agricultural')",3.623580415120133e-15
368,Lead,"('water', 'ground-, long-term')",1.8883067586264508e-07
369,Water,"('water', 'surface water')",1.5942044246616713e-05
370,Cypermethrin,"('air', 'non-urban air or from high stacks')",0.0
371,"Energy, gross calorific value, in biomass","('natural resource', 'biotic')",0.04556629200115821
372,Phorate,"('soil', 'agricultural')",0.0
373,Manganese,"('air', 'urban air close to ground')",1.4291585532277779e-09
374,Radium-226,"('water',)",1.0344293665574063e-06
375,"Methane, chlorodifluoro-, HCFC-22","('air',)",9.919446111424372e-25
376,Bromine,"('air', 'non-urban air or from high stacks')",1.7446518522444617e-08
377,Iodide,"('water', 'surface water')",4.077312457408854e-08
378,Ethylene oxide,"('air', 'lower stratosphere + upper troposphere')",3.176806898056141e-14
379,"Vermiculite, in ground","('natural resource', 'in ground')",0.0
380,"Benzene, ethyl-","('air', 'non-urban air or from high stacks')",4.130508806900654e-09
381,"Iron, ion","('water', 'surface water')",8.821559557905299e-08
