,flow,category,amount
1170,Acetic acid,"('air', 'urban air close to ground')",1.3763284785105202e-08
1171,Zinc-65,"('air', 'non-urban air or from high stacks')",1.5034357961724778e-10
1172,Ruthenium-103,"('air', 'non-urban air or from high stacks')",7.852858627004968e-13
1173,Nitrite,"('water', 'ground-')",1.3258588604176746e-09
1174,Bromine,"('water', 'ground-, long-term')",2.119439493299509e-08
1175,"Gold, Au 9.7E-4%, in mixed ore, in ground","('natural resource', 'in ground')",2.604369603686424e-10
1176,Oxamyl,"('soil', 'agricultural')",0.0
1177,Triasulfuron,"('soil', 'agricultural')",6.83335660076302e-17
1178,Oxygen,"('water',)",0.0
1179,4-Methyl-2-pentanone,"('water', 'surface water')",0.0
1180,Ethylene diamine,"('air', 'urban air close to ground')",1.59344129496747e-13
1181,"Hydrocarbons, aliphatic, alkanes, unspecified","('water', 'surface water')",5.05950579062636e-08
1182,Lead,"('soil', 'agricultural')",9.657669046073492e-11
1183,Ammonia,"('air', 'non-urban air or from high stacks')",6.234969096841683e-06
1184,"Cyhalothrin, gamma-","('air', 'non-urban air or from high stacks')",1.3769867518053916e-13
1185,"Oils, unspecified","('soil', 'agricultural')",1.7011003345406681e-12
1186,Iprodion,"('soil', 'agricultural')",3.043793691992886e-14
1187,Tebuconazole,"('water', 'ground-')",2.005063540373556e-23
1188,"Uranium, in ground","('natural resource', 'in ground')",1.7507549596667346e-07
1189,Methiocarb,"('soil', 'agricultural')",0.0
1190,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('soil', 'industrial')",1.5347422972610339e-15
1191,Aluminium,"('air', 'urban air close to ground')",1.0891501903575433e-07
1192,"Occupation, permanent crop","('natural resource', 'land')",5.0500928767408e-06
1193,Hexane,"('air',)",5.492376359473836e-16
1194,Metconazole,"('soil', 'agricultural')",6.974643211454669e-15
1195,Butyl acetate,"('water', 'surface water')",3.5705632039048607e-10
1196,"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground","('natural resource', 'in ground')",1.7209141754202078e-07
1197,Imazamox,"('soil', 'agricultural')",4.968017978875363e-14
1198,"Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore, in ground","('natural resource', 'in ground')",6.93369604371811e-14
1199,"Diatomite, in ground","('natural resource', 'in ground')",1.2137881858564214e-11
1200,o-Xylene,"('air', 'urban air close to ground')",8.176421056379845e-12
1201,Zinc,"('air', 'urban air close to ground')",4.62187470095426e-09
1202,"PAH, polycyclic aromatic hydrocarbons","('water', 'ocean')",5.045580216554395e-10
1203,Thifensulfuron,"('air', 'non-urban air or from high stacks')",6.9112085072643716e-15
1204,Boric acid,"('air', 'urban air close to ground')",1.821574745558115e-19
1205,Ethyl acetate,"('water', 'surface water')",6.735372999255423e-13
1206,Polonium-210,"('air', 'non-urban air or from high stacks')",6.575869216697789e-06
1207,Iron,"('water', 'ground-')",3.117185276545395e-08
1208,"Nitrogen, organic bound","('water', 'ground-')",4.0209705190956493e-08
1209,Bentazone,"('soil', 'agricultural')",1.3418714522991015e-13
1210,"Methane, tetrafluoro-, R-14","('air',)",2.782775191880266e-09
1211,Oryzalin,"('soil', 'agricultural')",0.0
1212,Flurochloridone,"('soil', 'agricultural')",0.0
1213,Silthiofam,"('soil', 'agricultural')",3.8346822124163923e-16
1214,Spiroxamine,"('soil', 'agricultural')",1.9734555920611886e-14
1215,"2,4-D ester","('water', 'surface water')",1.0604627088372057e-23
1216,Phosphorus,"('soil',)",3.0834945858722914e-09
1217,Hydrogen,"('air', 'urban air close to ground')",5.5360883094810635e-08
1218,"Methane, trichlorofluoro-, CFC-11","('air', 'urban air close to ground')",1.999793866343406e-14
1219,t-Butylamine,"('air', 'urban air close to ground')",2.7691543211375185e-14
1220,"Dibenz(a,h)anthracene","('water', 'surface water')",4.4655281137661326e-17
1221,Fomesafen,"('soil', 'agricultural')",4.0240138391528667e-13
1222,Strontium-90,"('water', 'ocean')",1.4391069616983876e-06
1223,Ethylene glycol monoethyl ether,"('air', 'non-urban air or from high stacks')",0.0
1224,Manganese,"('soil', 'industrial')",2.1938131338121586e-08
1225,Chloroform,"('air',)",4.478979420270874e-17
1226,"Methane, non-fossil","('air', 'non-urban air or from high stacks')",8.16765170842386e-06
1227,"Hydrocarbons, aliphatic, unsaturated","('air', 'urban air close to ground')",3.284760051266182e-08
1228,Nitrogen oxides,"('air', 'non-urban air or from high stacks')",3.768149111836157e-05
1229,Boron trifluoride,"('air', 'urban air close to ground')",1.2230300667158995e-15
1230,Antimony,"('soil',)",5.2337354471551034e-11
1231,Barium,"('water', 'ground-')",3.097734434014385e-09
1232,Cobalt,"('water', 'ocean')",3.899256150549383e-13
1233,"Ethane, 1,2-dichloro-","('air', 'non-urban air or from high stacks')",1.971501514086067e-11
1234,MCPA,"('water', 'surface water')",3.4347248217738786e-21
1235,Chloroacetic acid,"('water', 'surface water')",4.8133071294162275e-11
1236,Cu-HDO,"('water',)",3.771377530121447e-16
1237,"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground","('natural resource', 'in ground')",2.0216563245586916e-07
1238,Pyrithiobac sodium salt,"('soil', 'agricultural')",3.2223854322571965e-14
1239,Sulfur,"('soil', 'agricultural')",1.2365827051558147e-08
1240,Arsenic,"('soil',)",1.2271024832627058e-10
1241,Diflufenican,"('soil', 'agricultural')",5.220434150927921e-15
1242,Lead,"('water', 'surface water')",4.261737973172185e-09
1243,Tungsten,"('water', 'ground-')",2.4117379917279527e-09
1244,Carbendazim,"('soil', 'agricultural')",1.832359105532329e-12
1245,Methane,"('air', 'urban air close to ground')",2.510649966923469e-10
1246,Boron,"('air', 'non-urban air or from high stacks')",5.559271684973788e-08
1247,Chromium IV,"('air', 'urban air close to ground')",1.1805682212874554e-16
1248,Trichloroethylene,"('air',)",4.760125286597838e-12
1249,Methanesulfonic acid,"('air', 'urban air close to ground')",2.5063725570875376e-14
1250,Isoproturon,"('soil', 'agricultural')",4.5826626142863644e-14
1251,Trioctyltin,"('water', 'ocean')",2.4030538063098043e-29
1252,Trifloxystrobin,"('air', 'non-urban air or from high stacks')",4.4219278163133186e-15
1253,Boron,"('water', 'ground-, long-term')",4.513925567468823e-06
1254,Beryllium,"('water', 'ground-')",1.1026984501582158e-10
1255,Radon-220,"('air',)",3.354531385575866e-08
1256,Propiconazole,"('soil', 'agricultural')",6.9124660336795715e-15
1257,Trimethylamine,"('air', 'urban air close to ground')",7.411516652339826e-15
1258,"Particulates, > 10 um","('air', 'non-urban air or from high stacks')",5.084892736006191e-05
1259,Ethylene glycol monoethyl ether,"('water', 'surface water')",0.0
1260,"Iron, ion","('water', 'ocean')",2.5626440423944984e-09
1261,Water,"('air',)",0.0003303917888760294
1262,Lactofen,"('air', 'non-urban air or from high stacks')",9.716758251132845e-14
1263,Imazethapyr,"('soil', 'agricultural')",1.2939468029416525e-13
1264,"Suspended solids, unspecified","('water', 'ground-')",1.012138742621131e-16
1265,"Gas, mine, off-gas, process, coal mining","('natural resource', 'in ground')",7.410515369813156e-05
1266,Cinidon-ethyl,"('soil', 'agricultural')",9.956564796112319e-17
1267,Alachlor,"('soil', 'agricultural')",3.0832851252244046e-14
1268,Acetamide,"('soil', 'agricultural')",8.682748905357211e-13
1269,Diflubenzuron,"('soil', 'agricultural')",1.7115249463705083e-10
1270,Prometryn,"('soil', 'agricultural')",4.815472975985973e-13
1271,Carnallite,"('natural resource', 'in water')",2.2559505843757215e-08
1272,Selenium,"('water',)",2.1638812608385356e-12
1273,Dimethyl carbonate,"('air',)",1.4095174074672557e-10
1274,Dichlorodimethylsilane,"('air',)",0.0
1275,Aniline,"('water', 'surface water')",6.12713553345362e-13
1276,Ethylene oxide,"('air',)",8.47478794064994e-12
1277,Radon-222,"('air', 'urban air close to ground')",5.309485477733324e-07
1278,Thorium-228,"('water', 'ocean')",3.954018858029112e-06
1279,Cobalt,"('soil', 'agricultural')",2.2586313527254445e-11
1280,"Ethane, hexafluoro-, HFC-116","('air', 'urban air close to ground')",3.0923818877460206e-11
1281,"Hydrocarbons, chlorinated","('air', 'urban air close to ground')",2.0712985557011044e-10
1282,Lead,"('soil',)",3.4166768454402046e-09
1283,"Particulates, > 10 um","('air', 'urban air close to ground')",1.3438317756885884e-06
1284,Nickel,"('soil', 'industrial')",3.342120466200808e-10
1285,"Carbon dioxide, fossil","('air',)",0.07037044685143727
1286,Fenpiclonil,"('soil', 'agricultural')",5.137347029723956e-12
1287,Chlorosulfonic acid,"('air', 'urban air close to ground')",3.0285491597084004e-14
1288,"Ethane, 1,1-difluoro-, HFC-152a","('air', 'urban air close to ground')",9.353044477434473e-11
1289,Benzo(a)pyrene,"('water', 'surface water')",4.647209084001591e-16
1290,Benzo(b)fluoranthene,"('water', 'surface water')",4.532462945836128e-16
1291,Chloroacetyl chloride,"('water', 'surface water')",2.6556343040111344e-14
1292,"Oils, non-fossil","('soil',)",2.386913498790721e-08
1293,"Transformation, to permanent crop, non-irrigated","('natural resource', 'land')",1.1661584166832674e-22
1294,Phosphate,"('water', 'surface water')",1.3848139856229638e-08
1295,Halosulfuron-methyl,"('soil', 'agricultural')",3.2375557366925557e-16
1296,Acetaldehyde,"('air', 'non-urban air or from high stacks')",6.4141266900598296e-09
1297,Iron,"('air', 'low population density, long-term')",9.569218009362119e-08
1298,"Indeno(1,2,3-cd)pyrene","('water', 'surface water')",7.00906226322949e-16
1299,Cobalt,"('air', 'non-urban air or from high stacks')",3.275805108990592e-09
1300,Molybdenum,"('water', 'ground-')",7.414023033900635e-09
1301,"Cadmium, ion","('water', 'ocean')",4.125564521447057e-11
1302,Water,"('air', 'low population density, long-term')",8.171281421224836e-23
1303,"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","('natural resource', 'in ground')",4.778325293630294e-07
1304,Chloramine,"('water', 'surface water')",1.7195862727496368e-12
1305,"Gangue, bauxite, in ground","('natural resource', 'in ground')",0.0007182308851882695
1306,"Transformation, from forest, primary (non-use)","('natural resource', 'land')",1.0412342862191199e-07
1307,Lithium,"('soil',)",2.371769535582118e-11
1308,"Coal, hard, unspecified, in ground","('natural resource', 'in ground')",0.008366932739289831
1309,Boron,"('water', 'surface water')",8.386309234502055e-09
1310,Metribuzin,"('air', 'non-urban air or from high stacks')",6.302025952573117e-13
1311,"Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground","('natural resource', 'in ground')",2.991694786250633e-12
1312,Hydrogen sulfide,"('air', 'urban air close to ground')",3.049600875029338e-09
1313,Beryllium,"('water',)",7.84645081233265e-12
1314,"Occupation, industrial area","('natural resource', 'land')",0.0005451274532978786
1315,Dithianon,"('soil', 'agricultural')",8.214090492157758e-16
1316,"Indium, 0.005% in sulfide, In 0.003%, Pb, Zn, Ag, Cd, in ground","('natural resource', 'in ground')",8.250272805533407e-09
1317,Endothall,"('soil', 'agricultural')",6.981070905353213e-16
1318,Zirconium,"('air', 'non-urban air or from high stacks')",1.8885161381648403e-12
1319,"Arsenic, ion","('water', 'ground-, long-term')",2.2133805870518163e-07
1320,Protactinium-234,"('air', 'non-urban air or from high stacks')",1.0133926278663499e-07
1321,Sulfide,"('water', 'ocean')",3.5079511553183895e-10
1322,Sulfate,"('air', 'urban air close to ground')",1.5657022566294958e-07
1323,Thorium-228,"('air', 'urban air close to ground')",6.313823993566062e-08
1324,Copper,"('air',)",1.7727866201342473e-07
1325,Tebuconazole,"('water', 'surface water')",4.828165795348368e-26
1326,Sulfate,"('air', 'non-urban air or from high stacks')",1.983564034895202e-09
1327,"Methane, non-fossil","('air',)",6.558160971911002e-13
1328,Selenium,"('air', 'urban air close to ground')",2.913585632121716e-10
1329,Dichlorprop,"('soil', 'agricultural')",8.505555795842572e-20
1330,"Transformation, to forest, extensive","('natural resource', 'land')",1.1967983226271406e-06
1331,Ethane,"('air', 'urban air close to ground')",1.3320434183268746e-07
1332,Tin,"('soil',)",4.568344717295085e-11
1333,"Heat, waste","('soil', 'industrial')",0.00024005931393288505
1334,Mercury,"('air',)",3.8883695534338444e-09
1335,Carbaryl,"('water', 'ground-')",1.0047411282753855e-21
1336,Carfentrazone-ethyl,"('soil', 'agricultural')",2.7072629915953264e-16
1337,Nitrogen,"('natural resource', 'in air')",0.00036198973172364896
1338,Cumene,"('water', 'surface water')",9.939792559686052e-08
1339,Scandium,"('air',)",3.71183613698692e-17
1340,o-Dichlorobenzene,"('water', 'surface water')",5.843579403916548e-10
1341,Thorium-228,"('water', 'surface water')",7.783854976140884e-05
1342,Fenoxaprop,"('air', 'non-urban air or from high stacks')",9.392704002101443e-14
1343,"Carbon monoxide, from soil or biomass stock","('air', 'non-urban air or from high stacks')",9.080596439079394e-08
1344,Iodine-133,"('air', 'non-urban air or from high stacks')",5.278455362672648e-09
1345,Propanol,"('air', 'urban air close to ground')",8.01148349389762e-13
1346,Iron,"('air', 'non-urban air or from high stacks')",2.3949097820365764e-09
1347,"Methane, trifluoro-, HFC-23","('air', 'urban air close to ground')",5.767998960650947e-12
1348,Platinum,"('air', 'non-urban air or from high stacks')",1.9102498815155324e-14
1349,Maleic hydrazide,"('soil', 'agricultural')",0.0
1350,Phosphoric acid,"('air', 'urban air close to ground')",6.448561345883128e-18
1351,"Fungicides, unspecified","('soil', 'agricultural')",2.925046311344293e-16
1352,Methyl acetate,"('water', 'surface water')",8.489431110453086e-15
1353,Propene,"('air', 'urban air close to ground')",6.142793525078384e-08
1354,Lead-210,"('water', 'surface water')",6.058899235045097e-07
1355,Difenoconazole,"('soil', 'agricultural')",8.784353158796066e-12
1356,Propanol,"('air', 'non-urban air or from high stacks')",9.78791610923602e-18
1357,"Fluorspar, 92%, in ground","('natural resource', 'in ground')",1.404497747130515e-06
1358,Lead,"('air',)",3.3069620631819235e-08
1359,Toluene,"('air',)",1.1068497360380492e-07
1360,Argon-40,"('natural resource', 'in air')",6.712392388785579e-06
1361,"Particulates, > 2.5 um, and < 10um","('air', 'urban air close to ground')",9.834197753899566e-07
1362,"Transformation, from grassland, natural, for livestock grazing","('natural resource', 'land')",5.0022938209000943e-08
1363,Ethalfluralin,"('soil', 'agricultural')",2.2688040800196248e-14
1364,"Chromium, ion","('water', 'ocean')",7.673557600037477e-10
1365,Chloride,"('soil', 'industrial')",8.400855647915493e-07
1366,Cerium-141,"('air', 'non-urban air or from high stacks')",9.175231077398168e-10
1367,Butadiene,"('air', 'lower stratosphere + upper troposphere')",3.2861722872921197e-15
1368,Mercury,"('air', 'non-urban air or from high stacks')",4.4137595563529467e-10
1369,"Gallium, in ground","('natural resource', 'in ground')",2.0990518128238172e-08
1370,Tellurium-123m,"('water', 'surface water')",6.982651480713741e-09
1371,Acetic acid,"('air',)",1.3580728098087193e-08
1372,Carbon,"('soil', 'industrial')",3.2828419698098755e-05
1373,"Particulates, < 2.5 um","('air', 'lower stratosphere + upper troposphere')",6.607306919814976e-15
1374,"Occupation, permanent crop, non-irrigated, intensive","('natural resource', 'land')",0.0
1375,Cloransulam-methyl,"('air', 'non-urban air or from high stacks')",5.985756788577442e-14
1376,Zinc,"('air', 'lower stratosphere + upper troposphere')",1.738762286961878e-16
1377,"Copper, Cu 6.8E-1%, in mixed ore, in ground","('natural resource', 'in ground')",3.8185942808226255e-09
1378,Benzal chloride,"('air',)",5.307508339257831e-16
1379,Cycloxydim,"('soil', 'agricultural')",0.0
1380,Zinc-65,"('water', 'surface water')",5.548031574475513e-07
1381,"Hydrocarbons, unspecified","('water',)",7.485608556183028e-09
1382,"Phenol, pentachloro-","('air', 'non-urban air or from high stacks')",2.1876347602610267e-09
1383,"Transformation, from dump site, slag compartment","('natural resource', 'land')",5.523629241173232e-09
1384,"Phosphorus, 18% in apatite, 12% in crude ore, in ground","('natural resource', 'in ground')",1.9959669106019625e-07
1385,"Carbon dioxide, non-fossil","('air', 'non-urban air or from high stacks')",0.00026329752573396185
1386,"Ethene, tetrachloro-","('air', 'urban air close to ground')",9.565806422282501e-14
1387,Benzyl alcohol,"('water', 'surface water')",0.0
1388,"Toluene, 2-chloro","('air', 'urban air close to ground')",8.019473120569494e-13
1389,Hydrogen chloride,"('air',)",1.4585156891416607e-06
1390,"Transformation, from forest, unspecified","('natural resource', 'land')",9.750456825216515e-06
1391,"Transformation, to traffic area, rail network","('natural resource', 'land')",8.431858946401531e-08
1392,"Particulates, > 2.5 um, and < 10um","('air',)",7.275202933544654e-06
1393,Copper,"('soil',)",5.416802920427761e-09
1394,Permethrin,"('water',)",0.0
1395,Pentane,"('air', 'urban air close to ground')",8.638716228455453e-07
1396,Phenol,"('air', 'urban air close to ground')",8.113794082075721e-08
1397,Dicamba,"('soil', 'agricultural')",6.181828355587223e-15
1398,Nickel,"('soil',)",7.150376549151734e-10
1399,"Nickel, ion","('water', 'ground-')",4.0461472874309005e-09
1400,"Carboxylic acids, unspecified","('water', 'surface water')",1.4322293793968474e-06
1401,Chlorine,"('air', 'non-urban air or from high stacks')",2.495129406217403e-11
1402,"Copper, ion","('water',)",2.6648111815211846e-09
1403,Krypton-87,"('air', 'non-urban air or from high stacks')",1.2350397038252223e-05
1404,Cadmium,"('air',)",3.943612342297433e-10
1405,"Energy, geothermal, converted","('natural resource', 'in ground')",0.0003377429546954846
1406,"Tantalum, 81.9% in tantalite, 1.6E-4% in crude ore, in ground","('natural resource', 'in ground')",9.126436779928446e-10
1407,"Ni, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore, in ground","('natural resource', 'in ground')",9.37822055860327e-09
1408,Strontium,"('air', 'non-urban air or from high stacks')",3.4118976702146397e-09
1409,Fenpropidin,"('soil', 'agricultural')",6.871114017290085e-15
1410,Formamide,"('air', 'urban air close to ground')",2.550910673105449e-14
1411,Bromine,"('water', 'ocean')",1.3839065170470727e-08
1412,Zeta-cypermethrin,"('soil', 'agricultural')",1.2475597182526e-15
1413,Scandium,"('soil',)",6.49465569831753e-11
1414,Titanium,"('air',)",1.367124541603088e-08
1415,"Silver, ion","('water', 'ground-')",4.5127330134490236e-11
1416,"Oil, crude, in ground","('natural resource', 'in ground')",0.00875632926554897
1417,Cadmium,"('soil', 'agricultural')",2.1955607842474883e-11
1418,Manganese,"('water', 'surface water')",2.0784884745795506e-08
1419,"Transformation, to permanent crop, non-irrigated, intensive","('natural resource', 'land')",0.0
1420,Ethanol,"('air',)",8.353348299339564e-15
1421,Diethylene glycol,"('air', 'non-urban air or from high stacks')",0.0
1422,"Wood, hard, standing","('natural resource', 'biotic')",5.660975547966763e-07
1423,"Transformation, to seabed, infrastructure","('natural resource', 'land')",1.0024826672427098e-07
1424,Metazachlor,"('soil', 'agricultural')",1.6057420511615255e-13
1425,Barium sulfide,"('water',)",0.0
1426,Dichromate,"('water',)",9.2468984740099e-11
1427,"Sodium, ion","('water', 'ground-, long-term')",0.00014896720200705866
1428,Barium,"('soil', 'industrial')",1.0739494415687652e-07
1429,"Transformation, to forest, intensive","('natural resource', 'land')",0.00010462909874198712
1430,Phosphorus,"('air', 'low population density, long-term')",2.07594224850651e-10
1431,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","('air', 'urban air close to ground')",3.631964714700535e-11
1432,Triforine,"('soil', 'agricultural')",0.0
1433,Ethofumesate,"('soil', 'agricultural')",2.364155498455139e-13
1434,Butadiene,"('air',)",8.251026022494135e-15
1435,Iodide,"('water', 'ocean')",1.977009207384354e-09
1436,"Ethane, 1,2-dichloro-","('water', 'surface water')",3.8861254778099595e-11
1437,"Aldehydes, unspecified","('air', 'urban air close to ground')",1.7432724940911752e-10
1438,m-Xylene,"('air', 'urban air close to ground')",7.0190321492607e-10
1439,"Occupation, annual crop","('natural resource', 'land')",5.148928924705587e-06
1440,Strontium,"('soil',)",2.6339237162819654e-09
1441,"Gold, Au 6.8E-4%, Ag 1.5E-4%, in ore, in ground","('natural resource', 'in ground')",3.089197392886739e-13
1442,"Calcium, ion","('water', 'surface water')",1.906929015584215e-05
1443,Thorium,"('air', 'urban air close to ground')",1.8664153242872358e-11
1444,"Carbon monoxide, non-fossil","('air', 'urban air close to ground')",8.447278094930231e-06
1445,Chloridazon,"('soil', 'agricultural')",4.423713628819518e-15
1446,Chromium VI,"('soil',)",3.0988167462131176e-09
1447,"Methane, monochloro-, R-40","('air', 'non-urban air or from high stacks')",2.6176583770048127e-10
1448,Sulfur dioxide,"('air', 'urban air close to ground')",1.988629684157711e-05
1449,Dimethenamid,"('water', 'ground-')",8.79136463463816e-20
1450,Bromide,"('water', 'surface water')",4.708008214488608e-10
1451,Benzene,"('water', 'surface water')",1.5756816111118154e-07
1452,Trifloxystrobin,"('soil', 'agricultural')",5.423497726514675e-16
1453,Trimethylamine,"('water', 'surface water')",1.7787639705779e-14
1454,Cyanide,"('water', 'surface water')",2.850512074671621e-08
1455,Carbonyl sulfide,"('air',)",2.827964917221387e-09
1456,"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground","('natural resource', 'in ground')",4.1117073587195754e-07
1457,Chlorpyrifos methyl,"('soil', 'agricultural')",1.0122362221848584e-10
1458,Potassium,"('air',)",3.384761623229054e-09
1459,Silicon dioxide,"('water', 'surface water')",0.0
1460,"Aluminium, in ground","('natural resource', 'in ground')",6.761973303350968e-05
1461,Hydrogen peroxide,"('air', 'urban air close to ground')",7.778789711100383e-12
1462,Chloride,"('soil',)",2.247513339896489e-07
1463,Water,"('air', 'lower stratosphere + upper troposphere')",2.1561453491774728e-13
1464,"Zinc, ion","('water', 'ocean')",3.67968006794467e-08
1465,Isoprene,"('air', 'non-urban air or from high stacks')",1.3970148399799827e-11
1466,"Copper, ion","('water', 'ground-')",4.838764476408757e-09
1467,Lead-210,"('water',)",2.2609671233089038e-07
1468,o-Xylene,"('air',)",6.914676371627777e-09
1469,Methyl formate,"('air', 'urban air close to ground')",2.5568320820613233e-14
1470,Benzene,"('water',)",2.7235335318510633e-09
1471,Endosulfan,"('soil', 'agricultural')",5.1871819305409475e-11
1472,Aldicarb,"('soil', 'agricultural')",2.071033400950768e-11
1473,Tungsten,"('water', 'ground-, long-term')",1.513762216810943e-07
1474,Bromine,"('water',)",1.674790454095993e-07
1475,"Occupation, forest, extensive","('natural resource', 'land')",0.00015550552093341127
1476,Maleic anhydride,"('water',)",0.0
1477,"2,4-D ester","('air', 'non-urban air or from high stacks')",1.6473777904843714e-21
1478,Nickel,"('air', 'non-urban air or from high stacks')",5.2430192508779606e-08
1479,Simazine,"('soil', 'agricultural')",5.389576959375063e-15
1480,Oxygen,"('natural resource', 'in air')",0.0009960082982215278
1481,Nitrate,"('water', 'ground-, long-term')",1.7129793164906335e-05
1482,Propene,"('air',)",7.781016283604181e-12
1483,Azoxystrobin,"('soil', 'agricultural')",2.803669606979506e-13
1484,"Carboxylic acids, unspecified","('water',)",1.810261175257785e-13
1485,Fluoranthene,"('air',)",2.0921366419817453e-13
1486,Dinitrogen monoxide,"('air', 'urban air close to ground')",3.1608017952973713e-07
1487,Fluoride,"('water', 'surface water')",4.713771110644423e-08
1488,"Gold, Au 6.7E-4%, in ore, in ground","('natural resource', 'in ground')",4.305793680835903e-11
1489,Quizalofop ethyl ester,"('soil', 'agricultural')",2.4005950792327165e-15
1490,"Zinc, ion","('water',)",8.220307989450899e-09
1491,"Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground","('natural resource', 'in ground')",2.4379523943449835e-07
1492,Lauric acid,"('air',)",0.0
1493,Plutonium-alpha,"('air', 'non-urban air or from high stacks')",2.1747398842235746e-14
1494,Sulfur dioxide,"('air', 'non-urban air or from high stacks')",6.763154506544116e-05
1495,Vanadium,"('air', 'non-urban air or from high stacks')",1.8490459904362764e-09
1496,Potassium-40,"('air', 'urban air close to ground')",1.7999450873980687e-07
1497,Sulfite,"('water', 'surface water')",1.1819804928583734e-08
1498,"BOD5, Biological Oxygen Demand","('water', 'ground-, long-term')",0.0001550162545362626
1499,Ethanol,"('air', 'urban air close to ground')",3.931086329780022e-09
1500,Tetramethyl ammonium hydroxide,"('air', 'urban air close to ground')",8.549554172385267e-14
1501,Tellurium-132,"('water', 'surface water')",2.442010802906019e-10
1502,Sodium hydroxide,"('air',)",0.0
1503,"Bromine, 0.23% in water","('natural resource', 'in water')",4.93178143650063e-10
1504,"Transformation, from permanent crop","('natural resource', 'land')",2.8751715324767605e-07
1505,tau-Fluvalinate,"('soil', 'agricultural')",0.0
1506,Polonium-210,"('water', 'ground-')",1.3769556030233063e-09
1507,"Benzene, hexachloro-","('air', 'urban air close to ground')",3.8295086243288994e-14
1508,Epichlorohydrin,"('water',)",5.420515767280804e-09
1509,"Discarded fish, demersal, to ocean","('water', 'ocean')",0.0
1510,Cadmium,"('air', 'non-urban air or from high stacks')",7.860090034788266e-09
1511,Flutolanil,"('soil', 'agricultural')",0.0
1512,Mefenpyr,"('soil', 'agricultural')",2.861917505015054e-16
1513,Fenpropimorph,"('soil', 'agricultural')",7.816822685073591e-15
1514,Mercury,"('water', 'ground-, long-term')",4.748450920496287e-09
1515,"Granite, in ground","('natural resource', 'in ground')",9.477616898670033e-15
1516,"Nitrogen, organic bound","('water', 'ocean')",4.6571371756031397e-08
1517,Acetone,"('air', 'non-urban air or from high stacks')",2.7655821435254136e-08
1518,"Borax, in ground","('natural resource', 'in ground')",9.257825269760404e-09
1519,"Transformation, to arable land, unspecified use","('natural resource', 'land')",2.2701377367205376e-06
1520,"Occupation, annual crop, greenhouse","('natural resource', 'land')",0.0
1521,"Transformation, from forest, extensive","('natural resource', 'land')",1.650161817126512e-05
1522,"Water, lake","('natural resource', 'in water')",2.2760214863243258e-05
1523,Phenol,"('water', 'surface water')",1.3809942796288986e-07
1524,"Fluorine, 4.5% in apatite, 3% in crude ore, in ground","('natural resource', 'in ground')",4.9454563838218926e-08
1525,1-Pentene,"('air', 'urban air close to ground')",1.1617527934833e-12
1526,"Transformation, to traffic area, road network","('natural resource', 'land')",5.737896463611561e-06
1527,Fluosilicic acid,"('air', 'urban air close to ground')",1.0821713108089998e-09
1528,Boron,"('water', 'ground-')",4.1604515919893197e-07
1529,Magnesium,"('soil', 'agricultural')",3.966567460012194e-08
1530,"AOX, Adsorbable Organic Halogen as Cl","('water',)",1.6827999625087758e-11
1531,2-Methyl-1-propanol,"('water', 'surface water')",1.2613609515519573e-13
1532,Tribufos,"('soil', 'agricultural')",5.279497225104356e-13
1533,"Transformation, from unspecified","('natural resource', 'land')",4.643436243558857e-05
1534,Cyanide,"('air', 'urban air close to ground')",2.1208619535659076e-09
1535,Dimethyldichlorosilane,"('water',)",0.0
1536,Cyclohexane,"('air', 'urban air close to ground')",6.448561345883128e-18
1537,"Copper, ion","('water', 'surface water')",3.5814825546891722e-09
1538,Boron,"('water',)",2.4530755114451677e-09
1539,"Water, well, in ground","('natural resource', 'in water')",9.265382745929386e-05
1540,"Water, river","('natural resource', 'in water')",0.00012314054232827839
1541,Argon-40,"('air',)",2.5991693994380766e-06
1542,Chlorine,"('soil',)",9.464494781216796e-09
1543,Methyl acrylate,"('air', 'urban air close to ground')",1.0596239630465283e-11
1544,Hypochlorite,"('water', 'ocean')",2.0261478715747822e-09
1545,Antimony-125,"('water', 'surface water')",1.3996794015420467e-07
1546,Chromium-51,"('air', 'non-urban air or from high stacks')",5.879471853923856e-11
1547,Imazamox,"('air', 'non-urban air or from high stacks')",3.0264516164580685e-14
1548,"Transformation, from shrub land, sclerophyllous","('natural resource', 'land')",1.2389759145658138e-06
1549,"Gold, Au 1.8E-4%, in mixed ore, in ground","('natural resource', 'in ground')",4.5336673794309175e-12
1550,Radon-222,"('air',)",1.8840572224456226e-08
